SnailID,Treatment,Status,Theta_circmean,Alpha_circmean,Theta_circrho,Alpha_circrho,Position_mean,Vel_mean,Position_sd,Vel_sd
17,Gradient,Infected,-0.237631787,0.003361032,0.122449872,0.824568213,23.29697101,0.004444399,6.555087557,0.010625763
18,Gradient,Infected,1.069176379,0.006358462,0.063666047,0.753408467,26.83723916,0.008367866,4.39830401,0.017302253
19,Gradient,Uninfected,2.543532409,0.017018464,0.020526517,0.750492953,29.20667925,0.012308717,9.744589094,0.024026021
20,Gradient,Uninfected,-3.114561908,-0.00621609,0.270713918,0.799439584,35.24549746,0.004439696,16.66436113,0.01189375
21,Gradient,Uninfected,0.595796012,0.008528069,0.026147885,0.67693505,24.26745766,0.024182407,14.12691604,0.031602259
22,Gradient,Uninfected,0.394791303,0.008000961,0.038658817,0.729370362,34.64504329,0.019674378,8.142189815,0.035218003
23,Constant,Uninfected,3.102982753,7.8729E-05,0.025539504,0.79466152,34.29693445,0.036777474,19.2398766,0.045862876
24,Constant,Uninfected,1.648927172,0.0120063,0.014603789,0.801769266,28.77573574,0.017382156,13.20614835,0.024698757
25,Constant,Infected,-3.138501607,0.004295044,0.033742965,0.7176925,31.727655,0.046114736,18.20141498,0.045888696
26,Constant,Uninfected,-0.559078557,-0.006583774,0.071033544,0.819177775,27.16731835,0.004070133,8.119597316,0.010366098
27,Constant,Uninfected,-2.77348101,0.014106279,0.030960963,0.542851537,30.69418965,0.022206751,14.91642495,0.024507574
28,Constant,Uninfected,-0.113801923,0.012206059,0.04824284,0.748677031,33.87446911,0.012304467,11.94653186,0.019820732
29,Constant,Uninfected,-0.164351509,0.002826072,0.347179591,0.89974676,30.91173562,0.002222918,9.899752334,0.006786572
30,Gradient,Uninfected,-0.063915145,0.001344616,0.218889179,0.906682684,40.12889308,0.003249246,5.109911041,0.010105448
31,Gradient,Uninfected,-0.528614725,-0.017446315,0.081891431,0.821933954,40.6783977,0.008613395,17.71593301,0.016729857
32,Gradient,Infected,-0.053691437,0.037937399,0.13801837,0.838758539,48.95105866,0.003153317,4.451274838,0.009280718
